
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
801,1975-76,KCK,NBA,82,31,51,.378,19755,3341,7379,,,,,1792,2335,1133,2668,3801,1864,751,324,1607,2056,8474,-2.84,0.00,-2.84,105.7,97.4,100.1,.453,16.0,29.0,0.243,.466,16.2,30.2,0.235
802,1976-77,ATL,NBA,82,31,51,.378,19705,3279,7176,,,,,1836,2451,1244,2512,3756,1882,733,330,1779,2302,8394,-4.06,0.19,-3.87,104.6,97.8,101.6,.457,17.7,32.9,0.256,.478,17.0,30.9,0.267
803,1977-78,IND,NBA,82,31,51,.378,19830,3500,7783,,,,,1904,2564,1386,2624,4010,1982,808,456,1642,2230,8904,-2.50,0.13,-2.37,108.2,99.6,101.9,.450,15.6,33.2,0.245,.474,16.8,34.0,0.240
804,1977-78,KCK,NBA,82,31,51,.378,19830,3601,7731,,,,,1775,2262,1208,2632,3840,1992,794,370,1690,2228,8977,-1.89,0.13,-1.76,108.2,100.5,102.2,.466,16.2,31.0,0.230,.474,16.3,31.9,0.266
805,1978-79,CHI,NBA,82,31,51,.378,19780,3478,7108,,,,,1632,2184,1224,2544,3768,2169,576,324,1813,1970,8588,-3.96,0.18,-3.78,102.9,101.3,105.1,.489,18.3,34.0,0.230,.497,15.0,30.1,0.209
806,1978-79,NYK,NBA,82,31,51,.378,19780,3676,7554,,,,,1478,2111,1200,2430,3630,2121,699,397,1605,2154,8830,-3.38,0.09,-3.29,104.9,102.2,105.4,.487,15.9,32.5,0.196,.483,15.4,33.5,0.256
807,1980-81,ATL,NBA,82,31,51,.378,19930,3291,6866,3281,6784,10,82,2012,2590,1201,2224,3425,1846,749,469,1605,2276,8604,-3.10,0.73,-2.37,99.4,104.3,107.3,.480,16.7,34.1,0.293,.498,17.3,35.2,0.295
808,1984-85,KCK,NBA,82,31,51,.378,19755,3664,7275,3601,7037,63,238,2022,2595,1167,2327,3494,2342,661,300,1593,2169,9413,-2.67,-0.04,-2.71,104.4,109.5,112.1,.508,15.9,34.0,0.278,.514,14.2,33.4,0.262
809,1984-85,LAC,NBA,82,31,51,.378,19730,3527,7119,3471,6931,56,188,1674,2208,1163,2434,3597,1934,534,497,1587,1840,8784,-4.49,-0.06,-4.55,100.9,105.8,110.3,.499,16.4,33.8,0.235,.495,12.7,33.9,0.210
