
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
301,2012-13,IND*,NBA,81,49,32,.605,19590,2845,6525,2290,4926,555,1599,1429,1915,1043,2671,3714,1645,580,513,1227,1623,7674,4.02,-0.68,3.34,90.2,104.3,99.8,.479,14.3,30.3,0.219,.453,12.9,25.4,0.197
302,2013-14,DAL*,NBA,82,49,33,.598,19830,3249,6858,2528,4981,721,1877,1378,1733,840,2514,3354,1935,704,356,1110,1636,8597,2.40,0.50,2.91,93.5,111.2,108.7,.526,12.7,24.6,0.201,.515,14.8,27.3,0.229
303,1974-75,GSW*,NBA,82,48,34,.585,19780,3714,7981,,,,,1470,1915,1416,2854,4270,2076,972,365,1716,2109,8898,3.29,-0.43,2.86,107.6,100.4,97.3,.465,16.3,34.8,0.184,.456,16.0,29.3,0.218
304,1975-76,WSB*,NBA,82,48,34,.585,19905,3416,7234,,,,,1595,2215,1019,2812,3831,1823,696,485,1672,1921,8427,2.33,-0.14,2.19,104.3,97.5,95.3,.472,16.9,27.5,0.220,.442,15.1,28.9,0.194
305,1976-77,WSB*,NBA,82,48,34,.585,19730,3514,7479,,,,,1622,2264,1185,2758,3943,1935,642,433,1677,1940,8650,1.02,-0.12,0.90,105.9,99.3,98.4,.470,16.5,31.6,0.217,.458,14.9,29.7,0.189
306,1977-78,DEN*,NBA,82,48,34,.585,19830,3548,7441,,,,,2068,2705,1177,2736,3913,2187,824,422,1748,2116,9164,0.83,-0.03,0.80,108.5,102.3,101.5,.477,16.8,31.6,0.278,.472,15.5,31.7,0.223
307,1978-79,KCK*,NBA,82,48,34,.585,19855,3764,7644,,,,,1746,2392,1191,2404,3595,2239,825,390,1631,2419,9274,2.88,-0.15,2.73,107.3,104.5,101.9,.492,15.8,31.9,0.228,.486,18.4,32.5,0.307
308,1978-79,SAS*,NBA,82,48,34,.585,19830,3927,7760,,,,,1926,2423,1096,2619,3715,2313,829,509,1652,2071,9780,5.18,-0.21,4.97,110.6,107.1,102.4,.506,15.8,30.2,0.248,.477,15.9,33.1,0.221
309,1981-82,SAS*,NBA,82,48,34,.585,19755,3698,7613,3634,7361,64,252,1812,2335,1253,2537,3790,2257,600,555,1293,2217,9272,2.30,-0.52,1.79,102.5,109.9,107.6,.490,13.0,34.0,0.238,.487,13.7,31.2,0.256
