
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
701,2000-01,BOS,NBA,82,36,46,.439,19830,2773,6485,2181,4852,592,1633,1621,2190,897,2367,3264,1708,769,336,1285,1952,7759,-2.13,-0.26,-2.40,92.6,101.4,103.7,.473,14.7,25.3,0.250,.493,16.0,27.3,0.256
702,2001-02,MIA,NBA,82,36,46,.439,19930,2801,6382,2489,5483,312,899,1236,1708,902,2544,3446,1664,547,448,1217,1846,7150,-1.54,-0.31,-1.85,87.4,98.5,100.2,.463,14.6,26.6,0.194,.455,13.6,26.0,0.249
703,2001-02,PHO,NBA,82,36,46,.439,19830,3097,6934,2739,5838,358,1096,1250,1630,1072,2430,3502,1838,668,401,1205,1785,7802,-0.68,0.39,-0.30,91.4,103.3,104.0,.472,13.6,30.1,0.180,.476,14.4,29.8,0.227
704,2003-04,BOS*,NBA,82,36,46,.439,19705,2843,6415,2290,4816,553,1599,1572,2095,851,2440,3291,1683,770,331,1332,1837,7811,-1.45,-0.54,-1.99,93.2,102.1,103.7,.486,15.4,25.2,0.245,.479,15.7,30.5,0.240
705,2004-05,ORL,NBA,82,36,46,.439,19705,3034,6679,2714,5763,320,916,1772,2335,1038,2544,3582,1583,633,441,1322,1937,8160,-2.24,-0.27,-2.52,94.7,104.9,107.3,.478,14.6,29.9,0.265,.484,13.2,28.7,0.255
706,2005-06,ORL,NBA,82,36,46,.439,19905,2911,6167,2612,5371,299,796,1663,2277,892,2402,3294,1495,532,362,1240,1908,7784,-1.07,-0.19,-1.26,88.3,106.3,107.5,.496,14.7,28.5,0.270,.490,13.0,27.5,0.264
707,2007-08,IND,NBA,82,36,46,.439,19755,3102,6993,2347,4972,755,2021,1568,2042,904,2633,3537,1864,623,412,1236,1921,8527,-1.40,-0.46,-1.86,97.7,106.0,107.5,.498,13.5,24.4,0.224,.498,14.1,26.1,0.271
708,2008-09,IND,NBA,82,36,46,.439,19830,3220,7080,2568,5355,652,1725,1525,1890,924,2661,3585,1775,573,434,1189,1895,8617,-1.11,0.36,-0.76,96.5,108.1,109.2,.501,13.1,25.4,0.215,.499,12.7,25.5,0.271
709,2010-11,GSW,NBA,82,36,46,.439,19830,3251,7047,2566,5298,685,1749,1290,1695,955,2370,3325,1847,737,406,1198,1806,8477,-2.33,0.33,-2.00,94.8,108.2,110.7,.510,13.3,26.7,0.183,.509,14.5,30.7,0.259
710,2011-12,DAL*,NBA,66,36,30,.545,16065,2398,5412,1901,3948,497,1464,1029,1334,665,2157,2822,1380,565,337,926,1226,6322,0.95,0.83,1.78,91.4,103.3,102.3,.489,13.4,23.4,0.190,.479,13.9,25.2,0.203
711,2011-12,NYK*,NBA,66,36,30,.545,15940,2365,5335,1848,3797,517,1538,1211,1634,743,2012,2755,1328,622,276,1056,1391,6458,3.20,-0.81,2.39,93.2,104.4,101.0,.492,14.9,26.6,0.227,.485,15.9,26.3,0.224
712,2011-12,UTA*,NBA,66,36,30,.545,16165,2523,5531,2250,4686,273,845,1258,1668,861,2055,2916,1439,545,385,936,1441,6577,0.62,0.30,0.92,91.4,106.8,106.1,.481,13.0,30.2,0.227,.493,13.8,26.2,0.245
713,2013-14,DEN,NBA,82,36,46,.439,19755,3147,7042,2445,5083,702,1959,1563,2154,1009,2717,3726,1838,615,459,1305,1890,8559,-2.15,0.75,-1.40,98.1,106.0,108.2,.497,14.0,27.5,0.222,.500,12.8,25.5,0.233
714,2014-15,SAS,NBA,59,36,23,.610,14385,2234,4926,1747,3573,487,1353,978,1267,594,1989,2583,1420,447,319,843,1140,5933,3.49,0.08,3.57,93.5,105.8,102.2,.503,13.3,23.3,0.199,.484,13.2,22.4,0.196
715,1973-74,ATL,NBA,82,35,47,.427,19755,3602,7744,,,,,1703,2264,1240,2712,3952,1993,758,332,1823,2073,8907,-1.43,-0.04,-1.47,110.8,97.7,99.0,.465,17.3,31.0,0.220,.468,17.5,29.6,0.246
716,1976-77,NOJ,NBA,82,35,47,.427,19780,3443,7602,,,,,1688,2183,1249,2828,4077,1854,613,357,1706,2099,8574,-2.82,0.14,-2.68,107.2,97.0,99.7,.453,16.6,31.0,0.222,.452,15.5,31.8,0.238
717,1979-80,SDC,NBA,82,35,47,.427,19755,3524,7494,3347,6951,177,543,1595,2167,1294,2308,3602,1688,664,288,1443,1896,8820,-4.15,0.18,-3.97,101.4,105.7,109.8,.482,14.6,34.2,0.213,.503,14.2,34.6,0.215
718,1981-82,IND,NBA,82,35,47,.427,19830,3332,7164,3229,6848,103,316,1612,2176,1141,2372,3513,1897,753,494,1393,2041,8379,-1.87,0.38,-1.49,98.7,102.7,104.6,.472,14.6,30.5,0.225,.494,15.9,33.7,0.221
719,1983-84,WSB*,NBA,82,35,47,.427,19905,3344,6907,3273,6625,71,282,1664,2201,1027,2387,3414,2192,556,320,1448,1989,8423,-2.89,0.53,-2.36,97.4,104.2,107.2,.489,15.5,30.1,0.241,.492,13.7,30.3,0.239
720,1985-86,SAS*,NBA,82,35,47,.427,19805,3596,7104,3550,6908,46,196,1882,2523,1069,2413,3482,2260,800,390,1624,2115,9120,-1.85,-0.20,-2.05,103.8,106.5,108.2,.509,16.5,31.7,0.265,.499,15.2,32.4,0.260
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
721,1991-92,PHI,NBA,82,35,47,.427,19755,3187,6761,2960,6081,227,680,1757,2267,1058,2309,3367,1755,692,482,1238,1582,8358,-1.27,-0.07,-1.34,93.7,108.3,109.7,.488,13.8,30.9,0.260,.496,13.0,33.6,0.192
722,1994-95,BOS*,NBA,82,35,47,.427,19805,3179,6847,2817,5863,362,984,1708,2268,1156,2320,3476,1783,612,361,1305,1975,8428,-1.88,-0.05,-1.92,94.0,108.6,110.6,.491,14.3,33.1,0.249,.512,13.6,31.4,0.235
723,1995-96,DEN,NBA,82,35,47,.427,19830,3001,6657,2604,5509,397,1148,1614,2173,1057,2487,3544,1851,521,597,1265,1882,8013,-2.71,0.09,-2.62,92.2,105.2,108.1,.481,14.2,30.7,0.242,.492,12.8,27.3,0.237
724,1998-99,POR*,NBA,50,35,15,.700,12175,1747,3956,1501,3281,246,675,1002,1349,646,1570,2216,1073,411,290,771,1126,4742,6.36,-0.69,5.67,89.2,104.8,97.7,.473,14.5,31.8,0.253,.445,14.9,28.2,0.233
