
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
601,2009-10,TOR,NBA,82,40,42,.488,19780,3199,6631,2681,5234,518,1397,1618,2118,806,2507,3313,1804,469,384,1100,1819,8534,-1.78,-0.05,-1.83,93.1,111.3,113.2,.521,12.7,24.7,0.244,.513,11.8,27.1,0.247
602,2010-11,PHO,NBA,82,40,42,.488,20005,3219,6844,2518,4987,701,1857,1472,1939,821,2478,3299,1945,545,357,1169,1666,8611,-0.89,0.43,-0.46,94.4,109.5,110.4,.522,13.2,23.7,0.215,.513,13.1,28.4,0.211
603,2011-12,ATL*,NBA,66,40,26,.606,16165,2429,5348,1937,4018,492,1330,1025,1385,652,2066,2718,1481,536,303,921,1178,6375,3.44,-0.77,2.67,90.2,104.9,101.2,.500,13.4,23.9,0.192,.480,14.4,25.6,0.186
604,2011-12,LAC*,NBA,66,40,26,.606,15965,2439,5366,1925,3925,514,1441,1046,1538,800,1943,2743,1385,556,315,879,1399,6438,2.56,0.26,2.82,89.2,108.5,105.7,.502,12.7,29.5,0.195,.492,14.2,26.8,0.245
605,2013-14,MIN,NBA,82,40,42,.488,19855,3189,7175,2589,5418,600,1757,1790,2301,1024,2644,3668,1963,718,297,1142,1504,8768,2.67,0.43,3.10,97.3,108.9,106.2,.486,12.2,27.4,0.249,.518,14.8,25.6,0.177
606,1977-78,NOJ,NBA,82,39,43,.476,19780,3568,7717,,,,,1690,2331,1309,2907,4216,2079,662,514,1694,1938,8826,-1.87,0.06,-1.80,108.3,98.9,100.6,.462,16.2,32.3,0.219,.461,14.5,30.5,0.209
607,1979-80,NYK,NBA,82,39,43,.476,19780,3802,7672,3760,7481,42,191,1698,2274,1236,2303,3539,2265,881,457,1613,2168,9344,-1.15,0.19,-0.96,106.5,106.5,107.5,.498,15.7,33.7,0.221,.498,16.4,36.0,0.263
608,1979-80,WSB*,NBA,82,39,43,.476,19880,3574,7796,3501,7558,73,238,1552,2048,1334,2723,4057,2201,530,443,1380,1893,8773,-2.55,0.28,-2.27,102.6,103.2,105.7,.463,13.7,33.3,0.199,.469,12.3,30.5,0.218
609,1980-81,GSW,NBA,82,39,43,.476,19730,3560,7284,3500,7074,60,210,1826,2513,1403,2366,3769,2026,611,301,1547,2158,9006,-1.18,-0.23,-1.41,101.0,108.5,109.7,.493,15.6,38.8,0.251,.507,14.4,32.5,0.250
610,1980-81,WSB,NBA,82,39,43,.476,19780,3549,7517,3484,7276,65,241,1499,2072,1155,2533,3688,2151,641,392,1422,1895,8662,0.01,0.41,0.42,102.4,102.7,102.7,.476,14.4,30.5,0.199,.472,14.3,32.2,0.212
611,1981-82,DET,NBA,82,39,43,.476,19830,3561,7391,3509,7178,52,213,1938,2581,1298,2345,3643,2027,741,564,1629,2160,9112,-0.91,0.28,-0.63,104.3,105.8,106.6,.485,16.0,34.8,0.262,.512,16.4,33.1,0.224
612,1985-86,NJN*,NBA,82,39,43,.476,19805,3548,7301,3505,7087,43,214,1810,2396,1183,2483,3666,2128,749,345,1575,2129,8949,-1.99,0.60,-1.39,103.3,105.0,106.9,.489,15.9,33.3,0.248,.499,15.5,29.4,0.282
613,1985-86,WSB*,NBA,82,39,43,.476,19855,3311,7148,3195,6740,116,408,1704,2286,1066,2432,3498,1748,626,716,1346,1796,8442,-1.80,0.53,-1.28,99.1,103.0,104.8,.471,14.2,29.1,0.238,.472,14.2,33.9,0.224
614,1986-87,SEA*,NBA,82,39,43,.476,19855,3593,7451,3402,6880,191,571,1948,2571,1373,2395,3768,2184,705,450,1509,2224,9325,0.46,-0.38,0.08,101.8,110.7,110.3,.495,15.0,37.6,0.261,.486,13.5,34.0,0.296
615,1988-89,POR*,NBA,82,39,43,.476,19830,3695,7795,3479,7150,216,645,1789,2416,1384,2381,3765,2212,828,388,1435,2026,9395,1.46,-0.54,0.92,103.9,109.4,108.0,.488,13.9,36.7,0.230,.501,15.7,32.6,0.264
616,1990-91,NYK*,NBA,82,39,43,.476,19955,3308,6822,3123,6264,185,558,1654,2147,1053,2436,3489,2172,638,418,1379,1764,8455,-0.23,-0.21,-0.44,95.0,107.1,107.3,.498,15.1,31.1,0.242,.489,13.4,31.5,0.205
617,1992-93,LAL*,NBA,82,39,43,.476,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546,-1.27,0.06,-1.20,96.2,107.6,108.9,.486,13.7,31.4,0.249,.500,14.3,33.6,0.215
618,1994-95,SAC,NBA,82,39,43,.476,19855,3025,6463,2666,5426,359,1037,1647,2317,1073,2325,3398,1824,650,457,1449,2040,8056,-1.00,0.25,-0.75,92.3,105.5,106.5,.496,16.2,32.1,0.255,.481,15.0,33.0,0.280
619,1995-96,SAC*,NBA,82,39,43,.476,19755,2971,6494,2509,5300,462,1194,1759,2407,1114,2345,3459,1829,643,436,1442,2131,8163,-2.71,0.09,-2.62,93.4,106.2,109.1,.493,16.0,32.5,0.271,.498,15.1,31.0,0.302
620,1995-96,WSB,NBA,82,39,43,.476,19805,3202,6618,2709,5406,493,1212,1511,2076,930,2327,3257,1815,592,506,1327,1981,8408,1.06,-0.08,0.99,93.7,108.7,107.6,.521,15.0,28.2,0.228,.489,15.0,32.2,0.274
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
621,1996-97,IND,NBA,82,39,43,.476,19930,2851,6254,2421,5124,430,1130,1687,2336,1029,2390,3419,1750,585,394,1338,1977,7819,0.98,0.52,1.49,89.0,105.8,104.7,.490,15.5,31.3,0.270,.480,15.0,29.6,0.258
622,2001-02,LAC,NBA,82,39,43,.476,19805,2970,6668,2562,5521,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,7846,-0.46,0.38,-0.09,90.1,105.5,106.0,.476,13.8,31.3,0.225,.477,12.1,30.1,0.194
623,2003-04,NYK*,NBA,82,39,43,.476,19880,2881,6513,2475,5398,406,1115,1374,1732,950,2543,3493,1695,608,391,1289,1897,7542,-1.48,-0.49,-1.97,89.5,101.7,103.3,.474,15.1,28.0,0.211,.461,13.2,27.2,0.259
624,2006-07,NOK,NBA,82,39,43,.476,19880,2971,6674,2516,5418,455,1256,1436,1941,1025,2512,3537,1537,522,347,1187,1620,7833,-1.57,0.38,-1.20,90.2,104.8,106.5,.479,13.6,29.1,0.215,.499,13.2,25.3,0.212
625,2008-09,DET*,NBA,82,39,43,.476,19905,2981,6559,2604,5480,377,1079,1388,1849,949,2448,3397,1689,493,377,973,1712,7727,-0.49,0.13,-0.36,86.7,107.4,108.0,.483,11.7,27.9,0.212,.485,11.7,26.0,0.248
626,2010-11,UTA,NBA,82,39,43,.476,19880,3064,6590,2629,5334,435,1256,1590,2061,898,2338,3236,1921,629,484,1175,1865,8153,-1.83,0.39,-1.44,91.0,108.1,110.1,.498,13.5,27.0,0.241,.505,13.8,28.3,0.275
627,2011-12,BOS*,NBA,66,39,27,.591,15940,2341,5086,1978,4098,363,988,1017,1308,509,2051,2560,1557,498,362,979,1315,6062,2.52,-0.26,2.26,90.4,101.0,98.2,.496,14.7,19.7,0.200,.452,14.9,27.6,0.216
628,2014-15,DAL,NBA,61,39,22,.639,14790,2418,5230,1841,3596,577,1634,1008,1324,653,1935,2588,1389,502,290,776,1204,6421,4.62,-0.14,4.48,94.4,110.3,105.5,.517,11.8,24.2,0.193,.497,14.8,28.1,0.199
629,2014-15,LAC,NBA,60,39,21,.650,14425,2355,4994,1774,3417,581,1577,1103,1524,573,1963,2536,1457,467,304,720,1259,6394,6.28,0.45,6.74,94.4,112.6,106.0,.530,11.3,22.9,0.221,.497,13.3,24.3,0.231
630,2014-15,POR,NBA,58,39,19,.672,14070,2214,4983,1630,3376,584,1607,931,1162,629,2021,2650,1284,401,286,800,1076,5943,5.02,-0.16,4.86,94.2,107.6,102.4,.503,12.7,24.4,0.187,.469,11.8,24.5,0.186
631,1974-75,MIL,NBA,82,38,44,.463,19805,3450,7367,,,,,1354,1746,1021,2766,3787,1932,596,400,1540,1949,8254,0.21,0.05,0.25,102.1,98.0,97.8,.468,15.9,27.9,0.184,.444,14.0,29.4,0.197
632,1974-75,POR,NBA,82,38,44,.463,19880,3414,7113,,,,,1680,2265,1049,2758,3807,2209,755,399,1833,2055,8508,0.44,-0.16,0.28,104.7,98.1,97.7,.480,18.4,29.0,0.236,.450,16.0,30.4,0.228
633,1975-76,MIL*,NBA,82,38,44,.463,19830,3456,7435,,,,,1437,1952,1094,2688,3782,1817,715,468,1624,2041,8349,-1.45,-0.11,-1.56,103.9,97.3,98.7,.465,16.4,29.6,0.193,.446,14.9,31.4,0.218
634,1975-76,NOJ,NBA,82,38,44,.463,19880,3352,7491,,,,,1831,2415,1189,2779,3968,1765,750,343,1659,2175,8535,-0.89,0.15,-0.74,106.7,96.6,97.4,.447,16.2,29.5,0.244,.458,17.1,29.8,0.245
635,1975-76,NYK,NBA,82,38,44,.463,19805,3443,7555,,,,,1532,1985,1022,2723,3745,1660,575,259,1403,2006,8418,-1.23,0.18,-1.05,104.1,98.0,99.2,.456,14.3,26.1,0.203,.459,14.7,28.2,0.230
636,1977-78,DET,NBA,82,38,44,.463,19855,3552,7424,,,,,1832,2490,1229,2601,3830,1840,866,330,1858,1980,8936,-1.24,0.03,-1.22,107.7,100.3,101.5,.478,17.9,33.0,0.247,.479,16.6,32.4,0.216
637,1978-79,GSW,NBA,82,38,44,.463,19780,3627,7453,,,,,1367,1872,1169,2513,3682,2064,774,420,1500,2023,8621,0.38,0.08,0.46,102.2,102.4,102.0,.487,15.3,31.6,0.183,.481,16.2,31.3,0.221
638,1978-79,IND,NBA,82,38,44,.463,19705,3575,7525,,,,,1759,2317,1225,2530,3755,2005,687,416,1536,2093,8909,-1.60,0.19,-1.41,105.3,103.0,104.5,.475,15.2,32.0,0.234,.478,15.9,33.9,0.249
639,1978-79,MIL,NBA,82,38,44,.463,19880,3906,7773,,,,,1541,2021,1157,2370,3527,2562,862,435,1574,2106,9353,2.22,-0.10,2.12,106.5,106.0,104.0,.503,15.4,32.2,0.198,.490,16.9,34.1,0.242
