
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
201,2009-10,DEN*,NBA,82,53,29,.646,19780,3124,6678,2580,5161,544,1517,1937,2508,889,2505,3394,1719,683,417,1136,1844,8729,4.09,0.07,4.15,94.8,111.8,107.5,.509,12.7,26.1,0.290,.495,13.8,27.6,0.251
202,2009-10,UTA*,NBA,82,53,29,.646,19755,3227,6575,2788,5368,439,1207,1654,2233,872,2588,3460,2187,675,400,1246,1859,8547,5.34,-0.01,5.33,93.8,110.7,105.0,.524,14.2,26.8,0.252,.492,14.2,24.4,0.269
203,1973-74,DET*,NBA,82,52,30,.634,19755,3453,7515,,,,,1654,2164,1200,2681,3881,1956,793,419,1763,1930,8560,4.06,-0.04,4.02,106.5,97.6,93.8,.459,17.2,31.3,0.220,.450,17.9,30.4,0.197
204,1977-78,SAS*,NBA,82,52,30,.634,19780,3794,7594,,,,,1797,2234,1030,2594,3624,2240,797,553,1665,1871,9385,3.35,-0.15,3.20,109.0,104.5,101.4,.500,16.3,28.6,0.237,.472,15.7,34.1,0.185
205,1978-79,SEA*,NBA,82,52,30,.634,19755,3504,7484,,,,,1732,2298,1310,2591,3901,1973,690,398,1586,1914,8740,2.72,-0.03,2.69,103.4,102.7,100.1,.468,15.7,34.8,0.231,.463,15.0,30.9,0.209
206,1980-81,SAS*,NBA,82,52,30,.634,19805,3571,7276,3556,7191,15,85,2052,2668,1304,2582,3886,2048,685,643,1533,2114,9209,2.88,-0.70,2.18,102.9,108.5,105.7,.492,15.4,37.5,0.282,.475,14.1,32.0,0.233
207,1981-82,SEA*,NBA,82,52,30,.634,19830,3505,7178,3467,7025,38,153,1747,2362,1103,2544,3647,2103,691,460,1351,2057,8795,4.13,-0.45,3.69,100.0,106.4,102.3,.491,14.1,31.3,0.243,.464,14.4,32.8,0.214
208,1983-84,PHI*,NBA,82,52,30,.634,19955,3384,6833,3355,6726,29,107,2041,2706,1181,2382,3563,2032,807,653,1628,2040,8838,2.20,0.20,2.39,99.6,106.8,104.6,.497,16.9,34.6,0.299,.484,16.0,34.1,0.246
209,1984-85,DEN*,NBA,82,52,30,.634,19830,3876,7976,3803,7741,73,235,2016,2568,1331,2303,3634,2266,894,424,1382,2152,9841,2.44,-0.39,2.05,107.6,110.7,108.4,.491,13.2,33.6,0.253,.516,17.0,33.9,0.275
210,1986-87,DET*,NBA,82,52,30,.634,19830,3544,7237,3505,7068,39,169,1991,2602,1245,2649,3894,2021,643,436,1417,2078,9118,3.44,0.08,3.52,101.0,109.2,105.8,.492,14.5,34.7,0.275,.471,13.3,30.1,0.267
211,1988-89,ATL*,NBA,82,52,30,.634,19805,3412,7230,3302,6833,110,397,2168,2709,1372,2316,3688,1990,817,474,1310,1880,9102,4.91,0.35,5.26,98.3,112.2,107.2,.480,13.5,37.1,0.300,.482,15.4,35.3,0.256
212,1988-89,NYK*,NBA,82,52,30,.634,19805,3701,7611,3315,6464,386,1147,1779,2366,1322,2265,3587,2083,900,446,1572,2053,9567,3.77,-0.14,3.63,104.4,111.1,107.5,.512,15.4,36.2,0.234,.504,16.7,34.9,0.249
213,1989-90,BOS*,NBA,82,52,30,.634,19705,3563,7148,3457,6744,106,404,1791,2153,1066,2707,3773,2423,539,455,1256,1717,9023,3.99,-0.76,3.23,98.2,112.0,107.9,.506,13.4,31.5,0.251,.477,10.8,27.9,0.223
214,1990-91,HOU*,NBA,82,52,30,.634,19855,3403,7287,3087,6298,316,989,1631,2200,1275,2508,3783,1906,796,409,1402,1874,8753,3.50,-0.23,3.27,98.5,107.4,103.9,.489,14.5,34.4,0.224,.469,14.7,33.1,0.220
215,1994-95,IND*,NBA,82,52,30,.634,19780,2983,6248,2609,5263,374,985,1796,2390,1051,2290,3341,1877,703,363,1340,1939,8136,3.70,-0.35,3.35,90.0,109.6,105.6,.507,15.5,32.8,0.287,.493,15.8,31.4,0.237
216,1995-96,IND*,NBA,82,52,30,.634,19755,2979,6205,2616,5232,363,973,1823,2416,1010,2262,3272,1917,579,323,1335,2031,8144,3.24,-0.14,3.10,89.3,110.8,107.2,.509,15.5,33.0,0.294,.491,14.7,30.7,0.271
217,1999-00,MIA*,NBA,82,52,30,.634,19830,2974,6462,2528,5260,446,1202,1345,1827,921,2619,3540,1931,582,524,1231,1947,7739,3.11,-0.36,2.75,89.7,104.5,101.0,.495,14.5,28.2,0.208,.453,13.3,27.1,0.229
218,2000-01,MIL*,NBA,82,52,30,.634,19780,3112,6798,2550,5317,562,1481,1474,1874,975,2500,3475,1844,672,386,1123,1928,8260,3.88,-0.75,3.13,92.1,108.8,104.6,.499,12.8,28.1,0.217,.473,14.4,28.9,0.253
219,2001-02,NJN*,NBA,82,52,30,.634,19830,3042,6816,2639,5622,403,1194,1402,1907,1039,2515,3554,1990,716,490,1189,1734,7889,4.16,-0.49,3.67,91.8,104.0,99.5,.476,13.4,29.2,0.206,.459,14.9,28.4,0.213
220,2003-04,DAL*,NBA,82,52,30,.634,19805,3322,7230,2815,5774,507,1456,1475,1854,1174,2538,3712,1963,656,437,1000,1609,8626,4.44,0.42,4.86,93.2,112.1,107.4,.495,11.1,31.4,0.204,.498,13.9,28.4,0.214
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
221,2004-05,SEA*,NBA,82,52,30,.634,19755,2882,6498,2216,4674,666,1824,1683,2131,1041,2311,3352,1487,553,338,1113,1944,8113,2.29,0.30,2.59,87.9,112.2,109.6,.495,13.0,32.4,0.259,.496,12.9,28.7,0.249
222,2005-06,MIA*,NBA,82,52,30,.634,19755,3039,6355,2542,4914,497,1441,1616,2310,858,2675,3533,1692,522,442,1186,1871,8191,3.87,-0.27,3.59,91.6,108.7,104.5,.517,13.9,26.7,0.254,.477,12.4,23.6,0.251
223,2006-07,HOU*,NBA,82,52,30,.634,19855,2906,6528,2201,4635,705,1893,1436,1906,880,2673,3553,1704,583,337,1162,1710,7953,4.85,0.18,5.04,90.7,106.0,100.7,.499,13.6,25.7,0.220,.466,13.6,23.0,0.230
224,2007-08,ORL*,NBA,82,52,30,.634,19780,3058,6446,2257,4372,801,2074,1650,2288,768,2677,3445,1706,520,333,1173,1688,8567,5.46,-0.68,4.79,93.4,111.3,105.5,.537,13.6,23.4,0.256,.484,12.3,25.2,0.217
225,2010-11,ORL*,NBA,82,52,30,.634,19830,2956,6411,2186,4308,770,2103,1453,2101,864,2679,3543,1636,548,384,1224,1640,8135,5.46,-0.54,4.92,91.2,107.9,102.0,.521,14.3,26.1,0.227,.475,13.3,23.1,0.219
226,1982-83,MIL*,NBA,82,51,31,.622,19830,3486,7133,3449,6964,37,169,1731,2299,1095,2477,3572,2116,662,532,1447,2131,8740,4.40,-0.08,4.32,100.0,105.8,101.4,.491,15.1,31.8,0.243,.459,15.5,34.5,0.228
227,1985-86,HOU*,NBA,82,51,31,.622,19755,3759,7671,3674,7361,85,310,1776,2434,1316,2434,3750,2318,745,551,1374,1991,9379,2.61,-0.50,2.11,103.5,110.1,107.6,.496,13.6,35.5,0.232,.497,14.8,32.8,0.243
228,1988-89,UTA*,NBA,82,51,31,.622,19730,3182,6595,3068,6215,114,380,2110,2742,1050,2607,3657,2108,720,583,1532,1894,8588,5.02,-1.01,4.02,98.0,106.6,101.5,.491,16.4,32.0,0.320,.447,13.9,31.9,0.246
229,1991-92,BOS*,NBA,82,51,31,.622,19780,3543,7196,3433,6837,110,359,1549,1917,1095,2583,3678,2072,636,484,1165,1686,8745,3.62,-0.21,3.42,95.8,110.8,107.0,.500,12.7,31.9,0.215,.469,11.9,31.3,0.220
230,1991-92,NYK*,NBA,82,51,31,.622,19855,3312,6947,3111,6329,201,618,1503,2049,1185,2489,3674,2130,634,382,1242,1905,8328,3.89,-0.22,3.67,92.9,108.3,104.2,.491,13.7,34.6,0.216,.471,14.0,28.9,0.248
231,1992-93,POR*,NBA,82,51,31,.622,19905,3361,7343,3086,6500,275,843,1901,2551,1226,2507,3733,1969,770,425,1215,1892,8898,3.11,-0.19,2.92,99.1,108.3,105.2,.476,12.6,32.7,0.259,.488,14.8,29.0,0.237
232,1997-98,CHH*,NBA,82,51,31,.622,19780,2968,6344,2622,5440,346,904,1641,2186,985,2341,3326,1941,691,312,1247,1757,7923,2.00,0.45,2.45,89.4,107.5,105.3,.495,14.6,30.4,0.259,.493,14.6,29.2,0.224
233,2000-01,PHO*,NBA,82,51,31,.622,19805,2944,6757,2612,5703,332,1054,1490,1973,970,2529,3499,1905,775,429,1250,1864,7710,2.21,0.42,2.63,93.1,100.3,98.0,.460,14.1,27.3,0.221,.460,16.3,26.3,0.252
234,2002-03,MIN*,NBA,82,51,31,.622,19805,3172,6809,2876,6005,296,804,1406,1826,959,2614,3573,2070,553,433,1124,1704,8046,2.07,0.39,2.46,91.9,106.1,103.8,.488,12.9,28.2,0.206,.472,12.7,27.1,0.203
235,2004-05,HOU*,NBA,82,51,31,.622,19855,2846,6419,2293,4898,553,1521,1551,1986,874,2601,3475,1733,563,378,1135,1807,7796,4.04,0.23,4.26,88.8,106.2,101.7,.486,13.5,26.3,0.242,.459,12.9,25.5,0.245
