
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1995-96,CHI*,NBA,82,72,10,.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,12.24,-0.44,11.80,91.1,115.2,101.8,.517,13.1,36.9,0.217,.482,16.1,28.9,0.222
2,1996-97,CHI*,NBA,82,69,13,.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,10.80,-0.11,10.70,90.0,114.4,102.4,.511,12.5,35.9,0.199,.471,14.8,30.7,0.196
3,1985-86,BOS*,NBA,82,67,15,.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,9.41,-0.36,9.06,101.2,111.8,102.6,.518,14.1,31.3,0.244,.466,13.0,28.3,0.216
4,1991-92,CHI*,NBA,82,67,15,.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,10.44,-0.37,10.07,94.4,115.5,104.5,.518,11.8,35.1,0.221,.476,14.1,30.7,0.219
5,1999-00,LAL*,NBA,82,67,15,.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,8.55,-0.14,8.41,93.3,107.3,98.2,.484,12.7,30.6,0.241,.443,13.4,26.9,0.222
6,2006-07,DAL*,NBA,82,67,15,.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,7.22,0.06,7.28,89.5,111.3,103.2,.509,13.4,28.7,0.256,.477,14.2,25.0,0.265
7,2007-08,BOS*,NBA,82,66,16,.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245,10.26,-0.95,9.31,90.9,110.2,98.9,.522,14.7,26.6,0.267,.457,15.2,25.6,0.253
8,2008-09,CLE*,NBA,82,66,16,.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223,8.93,-0.25,8.68,88.7,112.4,102.4,.519,12.5,27.7,0.236,.468,13.5,25.4,0.226
9,2012-13,MIA*,NBA,82,66,16,.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436,7.87,-0.84,7.03,90.7,112.3,103.7,.552,13.7,22.2,0.224,.487,14.8,27.0,0.200
10,1982-83,PHI*,NBA,82,65,17,.793,19830,3600,7212,3575,7103,25,109,1966,2650,1334,2596,3930,2016,812,577,1627,2041,9191,7.67,-0.14,7.53,102.7,108.3,100.9,.501,16.3,37.1,0.273,.464,15.8,33.8,0.217
11,1986-87,LAL*,NBA,82,65,17,.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656,9.30,-0.98,8.32,101.6,115.6,106.5,.528,14.0,34.1,0.278,.476,13.8,33.7,0.230
12,2008-09,LAL*,NBA,82,65,17,.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768,7.66,-0.55,7.11,94.3,112.8,104.7,.513,12.3,29.4,0.230,.490,14.2,27.0,0.213
13,1995-96,SEA*,NBA,82,64,18,.780,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572,7.79,-0.40,7.39,93.8,110.3,102.1,.526,16.2,29.7,0.288,.479,16.7,30.5,0.252
14,1996-97,UTA*,NBA,82,64,18,.780,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454,8.79,-0.82,7.97,90.0,113.6,104.0,.530,14.7,29.7,0.299,.480,15.5,28.4,0.290
15,2005-06,DET*,NBA,82,64,18,.780,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941,6.67,-0.44,6.23,86.8,110.8,103.1,.497,11.2,28.9,0.216,.477,13.7,28.8,0.191
16,1981-82,BOS*,NBA,82,63,19,.768,19780,3657,7334,3608,7150,49,184,1817,2457,1253,2489,3742,2126,652,568,1452,2014,9180,6.38,-0.03,6.35,101.5,109.8,103.5,.502,14.7,35.8,0.248,.472,14.6,32.4,0.220
17,1984-85,BOS*,NBA,82,63,19,.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412,6.65,-0.18,6.47,101.6,112.8,106.3,.515,13.8,32.8,0.254,.481,12.6,29.6,0.198
18,1988-89,DET*,NBA,82,63,19,.768,19830,3395,6879,3275,6479,120,400,1830,2379,1154,2546,3700,2027,522,406,1336,1939,8740,5.80,0.44,6.24,95.5,110.8,104.7,.502,14.4,34.5,0.266,.458,13.2,30.8,0.260
19,1989-90,LAL*,NBA,82,63,19,.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079,6.78,-0.04,6.74,96.3,114.0,107.0,.512,13.2,32.8,0.271,.479,12.8,31.5,0.219
