
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
121,1996-97,ATL*,NBA,82,56,26,.683,19805,2812,6307,2153,4473,659,1834,1491,1955,1021,2350,3371,1557,701,427,1228,1591,7774,5.44,0.08,5.52,86.8,108.5,102.3,.498,14.6,31.5,0.236,.472,15.0,30.8,0.191
122,1996-97,LAL*,NBA,82,56,26,.683,19930,3018,6642,2467,5142,551,1500,1613,2330,1092,2414,3506,1845,740,575,1222,1818,8200,4.27,-0.61,3.66,91.1,108.3,103.7,.496,13.7,31.6,0.243,.478,15.1,31.5,0.231
123,1997-98,PHO*,NBA,82,56,26,.683,19955,3138,6710,2707,5499,431,1211,1459,1948,991,2452,3443,2124,756,429,1236,1765,8166,5.18,-0.74,4.44,91.4,107.4,101.8,.500,14.0,29.7,0.217,.471,15.3,30.0,0.227
124,1997-98,SAS*,NBA,82,56,26,.683,19830,2898,6187,2596,5324,302,863,1489,2164,984,2638,3622,1839,516,568,1318,1731,7587,3.99,-0.69,3.30,88.4,103.8,99.4,.493,15.6,30.6,0.241,.437,12.2,27.8,0.218
125,1999-00,IND*,NBA,82,56,26,.683,19730,3047,6640,2464,5153,583,1487,1629,2008,842,2612,3454,1857,559,422,1159,1786,8306,4.60,-0.44,4.16,93.1,108.5,103.6,.503,13.3,24.9,0.245,.469,12.6,28.5,0.197
126,2000-01,LAL*,NBA,82,56,26,.683,19905,3109,6685,2670,5410,439,1275,1594,2333,1085,2583,3668,1888,564,490,1184,1872,8251,3.38,0.37,3.74,91.7,108.4,104.8,.498,13.3,31.1,0.238,.468,12.2,27.5,0.234
127,2000-01,PHI*,NBA,82,56,26,.683,19855,2902,6487,2640,5684,262,803,1697,2277,1075,2600,3675,1692,690,408,1292,1673,7763,4.28,-0.65,3.63,90.6,103.6,98.9,.468,14.7,31.2,0.262,.460,14.5,27.5,0.186
128,2003-04,LAL*,NBA,82,56,26,.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052,3.90,0.45,4.35,92.3,105.5,101.3,.481,12.8,28.1,0.244,.471,14.3,26.7,0.222
129,2007-08,NOH*,NBA,82,56,26,.683,19805,3164,6796,2534,5175,630,1621,1312,1707,937,2494,3431,1785,637,321,974,1531,8270,5.28,0.18,5.46,89.9,111.5,105.7,.512,11.4,27.0,0.193,.501,13.5,24.6,0.184
130,2007-08,SAS*,NBA,82,56,26,.683,19730,2938,6424,2344,4814,594,1610,1350,1774,771,2612,3383,1718,521,337,1035,1537,7820,4.79,0.31,5.10,88.8,107.2,101.8,.504,12.6,23.4,0.210,.477,12.8,22.9,0.201
131,2010-11,BOS*,NBA,82,56,26,.683,19780,3023,6219,2615,5100,408,1119,1459,1895,639,2542,3181,1921,676,344,1195,1678,7913,5.37,-0.54,4.83,90.4,106.2,100.3,.519,14.5,21.1,0.235,.469,14.8,25.3,0.235
132,2012-13,LAC*,NBA,82,56,26,.683,19730,3160,6608,2533,4856,627,1752,1342,1888,938,2475,3413,1958,784,461,1197,1716,8289,6.45,-0.02,6.43,91.1,110.6,103.6,.526,13.9,28.8,0.203,.492,15.4,26.5,0.229
