
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
501,1988-89,BOS*,NBA,82,42,40,.512,19780,3520,7143,3442,6834,78,309,1840,2349,1179,2442,3621,2189,639,418,1336,1876,8958,1.16,0.10,1.26,98.1,110.8,109.6,.498,14.0,34.7,0.258,.493,12.7,30.0,0.248
502,1989-90,CLE*,NBA,82,42,40,.512,19880,3214,6977,2868,6126,346,851,1637,2201,1128,2380,3508,2106,645,512,1243,1666,8411,-0.30,-0.31,-0.62,95.0,106.9,107.2,.485,13.5,31.5,0.235,.490,14.0,32.3,0.202
503,1989-90,IND*,NBA,82,42,40,.512,19880,3381,6807,3087,6037,294,770,1906,2335,940,2388,3328,2023,552,350,1342,1972,8962,0.16,-0.34,-0.18,97.0,111.5,111.4,.518,14.6,29.0,0.280,.494,12.6,32.9,0.250
504,1991-92,HOU,NBA,82,42,40,.512,19880,3273,6894,2944,5935,329,959,1491,2020,1074,2432,3506,2058,656,571,1378,1769,8366,-1.72,-0.22,-1.94,95.1,106.2,108.0,.499,15.0,30.9,0.216,.477,12.5,33.6,0.209
505,1993-94,DEN*,NBA,82,42,40,.512,19755,3156,6781,2986,6184,170,597,1739,2423,1105,2557,3662,1763,679,686,1422,1926,8221,1.49,0.05,1.54,96.1,103.9,102.3,.478,15.3,32.2,0.256,.453,13.4,30.4,0.252
506,1993-94,MIA*,NBA,82,42,40,.512,19805,3197,6896,2860,5899,337,997,1744,2223,1235,2407,3642,1856,643,374,1315,2024,8475,2.67,-0.27,2.40,93.8,109.5,106.7,.488,14.3,35.3,0.253,.479,14.5,30.9,0.284
507,1994-95,ATL*,NBA,82,42,40,.512,19855,2986,6680,2447,5100,539,1580,1410,1948,1104,2272,3376,1757,738,412,1221,1804,7921,1.28,-0.23,1.05,89.8,106.6,105.2,.487,13.9,31.6,0.211,.495,15.6,31.6,0.215
508,1995-96,MIA*,NBA,82,42,40,.512,19780,2902,6348,2350,4890,552,1458,1553,2187,999,2495,3494,1752,574,439,1394,2158,7909,1.43,0.03,1.46,91.1,105.3,103.8,.501,16.0,30.1,0.245,.469,14.8,28.2,0.298
509,1996-97,CLE,NBA,82,42,40,.512,19855,2704,5972,2221,4688,483,1284,1282,1773,909,2159,3068,1714,655,315,1188,1882,7173,1.84,0.47,2.32,82.9,104.6,102.4,.493,15.0,29.4,0.215,.482,16.8,28.1,0.281
510,1997-98,WAS,NBA,82,42,40,.512,19805,3080,6811,2760,5867,320,944,1489,2156,1121,2341,3462,1900,689,379,1156,1839,7969,0.59,0.53,1.11,91.8,105.2,104.5,.476,13.0,31.2,0.219,.481,15.1,30.5,0.248
511,1999-00,DET*,NBA,82,42,40,.512,19830,3044,6635,2605,5412,439,1223,1956,2506,917,2458,3375,1707,665,273,1288,2011,8483,1.44,-0.31,1.13,95.7,107.3,105.8,.492,14.3,26.8,0.295,.499,15.4,28.4,0.249
512,1999-00,MIL*,NBA,82,42,40,.512,19855,3174,6827,2780,5758,394,1069,1558,1982,1016,2373,3389,1852,671,381,1230,2020,8300,0.22,-0.27,-0.05,92.7,108.2,107.9,.494,13.8,30.0,0.228,.496,14.6,30.4,0.254
513,2001-02,IND*,NBA,82,42,40,.512,19905,2935,6580,2530,5385,405,1195,1663,2155,930,2568,3498,1884,658,436,1249,1876,7938,0.27,-0.34,-0.07,91.9,104.1,103.8,.477,14.2,27.0,0.253,.469,13.2,29.0,0.227
