
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
401,1993-94,NJN*,NBA,82,45,37,.549,19830,3169,7115,2946,6432,223,683,1900,2495,1300,2556,3856,1900,696,576,1196,1693,8461,2.20,-0.08,2.11,95.5,107.2,104.9,.461,12.7,34.0,0.267,.475,13.5,30.9,0.212
402,1996-97,ORL*,NBA,82,45,37,.549,19855,2839,6497,2272,4835,567,1662,1474,1975,1071,2221,3292,1689,694,363,1250,1643,7719,-0.35,0.28,-0.07,88.3,105.6,106.0,.481,14.5,30.9,0.227,.495,15.3,32.7,0.211
403,1997-98,MIN*,NBA,82,45,37,.549,19930,3157,6844,2854,5971,303,873,1673,2253,1063,2429,3492,2068,639,427,1138,1882,8290,0.71,-0.54,0.17,92.6,107.8,107.1,.483,12.7,30.6,0.244,.480,13.5,31.5,0.240
404,1999-00,SEA*,NBA,82,45,37,.549,19780,3108,6946,2562,5335,546,1611,1363,1960,1042,2483,3525,1878,657,345,1152,1776,8125,0.95,0.22,1.17,93.4,105.6,104.6,.487,12.9,28.5,0.196,.483,14.0,30.4,0.193
405,1999-00,TOR*,NBA,82,45,37,.549,19755,2980,6882,2555,5711,425,1171,1583,2068,1098,2449,3547,1947,666,544,1137,1989,7968,-0.16,-0.30,-0.46,92.5,104.7,104.9,.464,12.7,30.1,0.230,.480,14.2,28.2,0.247
406,2000-01,HOU,NBA,82,45,37,.549,19830,2943,6494,2439,5082,504,1412,1582,2086,919,2524,3443,1613,587,358,1204,1657,7972,2.29,0.42,2.71,90.4,106.7,104.2,.492,14.0,27.5,0.244,.475,12.6,28.1,0.206
407,2001-02,SEA*,NBA,82,45,37,.549,19830,3131,6681,2642,5389,489,1292,1263,1672,968,2333,3301,1926,698,364,1124,1732,8014,3.02,0.21,3.24,89.0,108.9,105.6,.505,13.2,29.4,0.189,.485,14.5,31.9,0.206
408,2003-04,HOU*,NBA,82,45,37,.549,19930,2738,6195,2223,4789,515,1406,1371,1774,847,2647,3494,1579,560,443,1373,1762,7362,1.73,0.55,2.28,87.8,100.9,99.0,.484,16.4,26.5,0.221,.447,13.1,25.5,0.233
409,2004-05,BOS*,NBA,82,45,37,.549,19880,3046,6511,2609,5259,437,1252,1775,2323,909,2438,3347,1810,667,423,1297,2000,8304,0.87,-0.52,0.34,93.3,107.5,106.6,.501,14.7,27.2,0.273,.481,14.2,29.9,0.274
410,2004-05,MEM*,NBA,82,45,37,.549,19705,2802,6271,2271,4785,531,1486,1526,2024,887,2307,3194,1716,699,476,1197,1910,7661,2.29,0.34,2.63,88.5,105.5,102.9,.489,14.3,27.1,0.243,.466,15.4,30.1,0.270
