
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1001,1991-92,DAL,NBA,82,22,60,.268,19755,3120,7104,2852,6307,268,797,1499,1999,1194,2439,3633,1630,536,349,1202,1867,8007,-7.65,0.18,-7.46,94.4,103.0,111.1,.458,13.1,31.2,0.211,.483,11.5,32.2,0.259
1002,1992-93,WSB,NBA,82,22,60,.268,19805,3302,7065,3128,6487,174,578,1575,2107,1031,2317,3348,2110,673,359,1323,1795,8353,-7.04,0.55,-6.49,97.7,103.6,110.8,.480,14.2,28.8,0.223,.510,13.6,32.9,0.219
1003,1996-97,PHI,NBA,82,22,60,.268,19780,3003,6850,2570,5494,433,1356,1776,2450,1267,2355,3622,1695,683,394,1437,1733,8215,-6.54,0.65,-5.89,95.3,104.6,111.4,.470,15.3,34.1,0.259,.510,13.8,33.5,0.222
1004,1998-99,CLE,NBA,50,22,28,.440,12050,1562,3561,1380,3027,182,534,1016,1356,472,1316,1788,1093,452,203,785,1208,4322,-1.72,0.78,-0.94,86.4,99.6,101.6,.464,15.9,25.1,0.285,.468,16.2,31.0,0.267
1005,1999-00,VAN,NBA,82,22,60,.268,19855,2892,6441,2568,5543,324,898,1594,2060,1005,2324,3329,1700,608,346,1381,1881,7702,-5.62,0.52,-5.10,91.0,102.3,108.5,.474,15.8,30.1,0.247,.502,14.1,29.4,0.231
1006,2006-07,MEM,NBA,82,22,60,.268,19980,2998,6448,2498,5086,500,1362,1835,2410,866,2375,3241,1680,564,407,1343,1827,8331,-5.15,0.70,-4.44,93.6,106.9,112.3,.504,15.2,25.9,0.285,.529,14.0,28.9,0.237
1007,2007-08,MEM,NBA,82,22,60,.268,19805,3060,6737,2440,4958,620,1779,1517,2097,848,2567,3415,1574,503,386,1251,1592,8257,-6.21,0.46,-5.75,95.3,105.0,111.4,.500,14.0,23.8,0.225,.521,12.2,26.6,0.196
1008,2007-08,MIN,NBA,82,22,60,.268,19730,3076,6817,2635,5558,441,1259,1246,1693,964,2428,3392,1630,616,306,1188,1885,7839,-6.78,0.53,-6.25,91.9,103.8,111.2,.484,13.6,27.5,0.183,.513,12.9,26.4,0.269
1009,2010-11,TOR,NBA,82,22,60,.268,19780,3144,6755,2799,5664,345,1091,1491,1976,963,2343,3306,1795,581,350,1206,1807,8124,-6.28,0.01,-6.28,92.9,106.1,112.9,.491,13.7,28.2,0.221,.522,13.0,28.0,0.251
1010,2011-12,NJN,NBA,66,22,44,.333,15890,2262,5320,1755,3839,507,1481,1113,1433,783,1879,2662,1311,493,260,995,1268,6144,-5.98,-0.39,-6.37,90.1,102.9,109.6,.473,14.3,27.8,0.209,.513,13.7,29.3,0.209
1011,2011-12,SAC,NBA,66,22,44,.333,15915,2490,5712,2079,4411,411,1301,1127,1532,882,1947,2829,1271,561,323,952,1287,6518,-5.68,0.73,-4.95,94.7,103.8,109.8,.472,13.0,29.1,0.197,.515,13.9,29.5,0.199
1012,1980-81,DET,NBA,82,21,61,.256,19755,3236,6986,3223,6902,13,84,1689,2330,1201,2111,3312,1819,884,492,1759,2125,8174,-6.32,0.74,-5.58,101.2,98.1,104.3,.464,18.0,33.4,0.242,.512,18.6,34.1,0.242
1013,1988-89,LAC,NBA,82,21,61,.256,19855,3526,7428,3472,7194,54,234,1606,2220,1156,2384,3540,2208,815,530,1666,1937,8712,-9.91,0.42,-9.50,104.4,100.8,110.2,.478,16.5,31.2,0.216,.497,14.1,36.0,0.237
1014,1988-89,SAS,NBA,82,21,61,.256,19755,3469,7409,3406,7116,63,293,1651,2367,1295,2181,3476,2037,961,423,1712,2153,8652,-7.28,-0.17,-7.45,104.1,100.9,107.9,.472,16.8,34.5,0.223,.500,17.2,36.5,0.294
1015,1991-92,ORL,NBA,82,21,61,.256,19705,3220,7102,3023,6494,197,608,1693,2268,1171,2329,3500,1792,643,367,1389,1977,8330,-6.91,0.40,-6.52,98.0,103.5,110.5,.467,14.6,32.4,0.238,.502,13.5,32.2,0.260
1016,1994-95,MIN,NBA,82,21,61,.256,19780,2792,6219,2474,5203,318,1016,1824,2355,883,2090,2973,1780,609,402,1400,2074,7726,-9.00,0.78,-8.22,91.4,102.6,112.4,.475,16.2,27.7,0.293,.510,14.8,35.9,0.280
1017,1994-95,WSB,NBA,82,21,61,.256,19855,3176,6899,2743,5635,433,1264,1457,2013,1044,2219,3263,1749,648,404,1301,1949,8242,-5.60,0.04,-5.56,94.5,105.4,111.3,.492,14.3,29.3,0.211,.512,14.9,33.3,0.262
1018,1995-96,TOR,NBA,82,21,61,.256,19830,3084,6598,2670,5430,414,1168,1412,1953,1071,2213,3284,1927,745,493,1544,1987,7994,-7.51,0.31,-7.21,93.2,103.8,111.8,.499,17.2,32.0,0.214,.514,14.7,33.2,0.272
1019,1996-97,DEN,NBA,82,21,61,.256,19930,2934,6687,2298,4976,636,1711,1516,1992,994,2452,3446,1889,503,487,1359,1784,8020,-6.28,-0.12,-6.40,92.4,104.5,111.2,.486,15.2,28.8,0.227,.501,11.8,30.7,0.206
1020,1998-99,GSW,NBA,50,21,29,.420,12125,1730,4173,1568,3608,162,565,794,1175,816,1559,2375,1037,414,221,768,1270,4416,-2.50,-0.13,-2.63,88.9,98.4,101.1,.434,14.1,35.2,0.190,.445,14.0,29.6,0.290
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1021,2001-02,CHI,NBA,82,21,61,.256,19805,2811,6491,2511,5623,300,868,1413,1958,924,2359,3283,1817,633,361,1252,1834,7335,-8.54,0.01,-8.52,90.5,98.2,107.6,.456,14.6,26.6,0.218,.497,13.7,28.6,0.239
1022,2001-02,GSW,NBA,82,21,61,.256,19780,2998,6989,2678,5995,320,994,1693,2344,1334,2493,3827,1706,650,523,1378,1884,8009,-5.40,0.61,-4.80,94.5,102.8,108.5,.452,14.7,35.3,0.242,.488,12.9,30.6,0.232
1023,2003-04,ORL,NBA,82,21,61,.256,19830,2904,6768,2475,5520,429,1248,1474,2000,1003,2350,3353,1584,547,308,1123,1744,7711,-7.02,-0.23,-7.25,90.8,102.7,110.4,.461,12.8,28.1,0.218,.502,12.7,31.3,0.214
1024,2005-06,POR,NBA,82,21,61,.256,19730,2791,6267,2427,5225,364,1042,1339,1944,886,2203,3089,1490,529,435,1205,1828,7285,-9.45,0.54,-8.91,87.6,101.1,111.9,.474,14.5,26.6,0.214,.507,12.6,31.8,0.231
